,question,answer
0,внарушение контракта,(раздельно)
1,подслащнный,ё
2,невзвалив,(раздельно)
3,быстробыстро,(дефис)
4,подетски,(дефис)
5,он ошибся вследстви волнения,е
6,прочитнный,а
7,клонящеся солнце,е
8,видщий,я
9,купаться нагишм,о
10,прорешайка,(дефис)
11,изванный,я
12,заяцто убежал,(дефис)
13,звёздыто как сияют,(дефис)
14,тесо,н
15,совершамый,е
16,"нескучно, а интересно",(раздельно)
17,доверительн,о
18,замечательо,н
19,комментирумое,е
20,бубубу,(дефис)
21,ему невдомёк,(слитно)
22,насух,о
23,комната непроветрена,(раздельно)
24,сильо,н
25,всего лиш мальчик,ь
26,что-то вроде кино,(слитно)
27,нгде не видно,и
28,"скажи мне тоже, что и говорил",(раздельно)
29,значщий,а
30,налев,о
31,стоить недёшево,(слитно)
32,баюбай,(дефис)
33,ему невтерпёж,(ничего)
34,эхма,(дефис)
35,картавщий,я
36,приезжай вслед за мной,(слитно)
37,нужно чемто заняться,(дефис)
38,связа с учёбой,н
39,до сих пор несвязанная шаль,(раздельно)
40,нчуть не грустно,и
41,потушнный свет,е
42,сварн,е
43,внутри трамвая,(слитно)
44,воттебераз,(раздельно)
45,опустить наземь,(слитно)
46,обратиться поповоду доклада,(раздельно)
47,отстанька,(дефис)
48,вливающяся река,а
49,изванный,я
50,постираые вещи,нн
51,испорчнный,е
52,негреющее солнце,(слитно)
53,страницы неизмяты,(раздельно)
54,отражнный,ё
55,обедневшя компания,а
56,в продолжени дороги я молчал,е
57,никого неудивляющий факт,(раздельно)
58,поговорить насчёт репетиции,(слитно)
59,засушн,е
60,изучамый,е
61,выглажнный,е
62,всилу обстоятельств,(раздельно)
63,покрывамые,е
64,согласумое,е
65,недоставленное письмо,(слитно)
66,занятьсято мне нечем,(дефис)
67,одеващаяся,ю
68,"неправильно, а с ошибкой",(раздельно)
69,крайне недружелюбно,(слитно)
70,делать нерадиво,(слитно)
71,деньто был интересный,(дефис)
72,выдать замуж,(ничего)
73,яйца всмятку,(слитно)
74,в колеблющмся штате,е
75,вначале века,(раздельно)
76,бежать вовсю,(слитно)
77,в продолжени недели мне нездоровилось,е
78,усенный,я
79,в тоже время,(раздельно)
80,снимика,(дефис)
81,сочувствующ,е
82,высушнный,е
83,"нехолодно, а жарко",(раздельно)
84,в течени опасного путешествия,е
85,отменить поход ввиду грозы,(слитно)
86,искусствео,нн
87,смотрщий,я
88,утюг выключе,н
89,покитайски,(дефис)
90,непроверив,(раздельно)
